date;G(h);T2m;RH;WD10m;WS10m;PRECIP;Gb(n);Gd(h)
01/01/2021 00:00;0;13.02;87.88;252.31;4.71;99.45;0;0
01/01/2021 00:15;0;12.9775;88.035;252.75;4.595;99.445;0;0
01/01/2021 00:30;0;12.935;88.19;253.19;4.48;99.44;0;0
01/01/2021 00:45;0;12.8925;88.345;253.63;4.365;99.435;0;0
01/01/2021 01:00;0;12.85;88.5;254.07;4.25;99.43;0;0
01/01/2021 01:15;0;12.8;88.75;253.665;4.0275;99.4375;0;0
01/01/2021 01:30;0;12.75;89;253.26;3.805;99.445;0;0
01/01/2021 01:45;0;12.7;89.25;252.855;3.5825;99.4525;0;0
01/01/2021 02:00;0;12.65;89.5;252.45;3.36;99.46;0;0
01/01/2021 02:15;0;12.5625;90.0775;251.57;3.165;99.485;0;0
01/01/2021 02:30;0;12.475;90.655;250.69;2.97;99.51;0;0
01/01/2021 02:45;0;12.3875;91.2325;249.81;2.775;99.535;0;0
01/01/2021 03:00;0;12.3;91.81;248.93;2.58;99.56;0;0
01/01/2021 03:15;0;12.1925;92.545;247.245;2.435;99.59;0;0
01/01/2021 03:30;0;12.085;93.28;245.56;2.29;99.62;0;0
01/01/2021 03:45;0;11.9775;94.015;243.875;2.145;99.65;0;0
01/01/2021 04:00;0;11.87;94.75;242.19;2;99.68;0;0
01/01/2021 04:15;30.7325;12.085;93.5;239.0775;1.9325;99.7125;0;30.7325
01/01/2021 04:30;61.465;12.3;92.25;235.965;1.865;99.745;0;61.465
01/01/2021 04:45;92.1975;12.515;91;232.8525;1.7975;99.7775;0;92.1975
01/01/2021 05:00;122.93;12.73;89.75;229.74;1.73;99.81;0;122.93
01/01/2021 05:15;172.6125;13.09;87.9075;229.3525;1.67;99.835;0;172.6125
01/01/2021 05:30;222.295;13.45;86.065;228.965;1.61;99.86;0;222.295
01/01/2021 05:45;271.9775;13.81;84.2225;228.5775;1.55;99.885;0;271.9775
01/01/2021 06:00;321.66;14.17;82.38;228.19;1.49;99.91;0;321.66
01/01/2021 06:15;377.1925;14.7275;79.145;231.8975;1.4375;99.925;0;377.1925
01/01/2021 06:30;432.725;15.285;75.91;235.605;1.385;99.94;0;432.725
01/01/2021 06:45;488.2575;15.8425;72.675;239.3125;1.3325;99.955;0;488.2575
01/01/2021 07:00;543.79;16.4;69.44;243.02;1.28;99.97;0;543.79
01/01/2021 07:15;592.4675;16.95;66.97;249.925;1.27;99.9775;0;592.4675
01/01/2021 07:30;641.145;17.5;64.5;256.83;1.26;99.985;0;641.145
01/01/2021 07:45;689.8225;18.05;62.03;263.735;1.25;99.9925;0;689.8225
01/01/2021 08:00;738.5;18.6;59.56;270.64;1.24;100;0;738.5
01/01/2021 08:15;781.94;19.035;57.9825;277.13;1.3575;100.0025;0;781.94
01/01/2021 08:30;825.38;19.47;56.405;283.62;1.475;100.005;0;825.38
01/01/2021 08:45;868.82;19.905;54.8275;290.11;1.5925;100.0075;0;868.82
01/01/2021 09:00;912.26;20.34;53.25;296.6;1.71;100.01;0;912.26
01/01/2021 09:15;930.725;20.6375;52.3125;298.1325;1.8875;100.01;0;930.725
01/01/2021 09:30;949.19;20.935;51.375;299.665;2.065;100.01;0;949.19
01/01/2021 09:45;967.655;21.2325;50.4375;301.1975;2.2425;100.01;0;967.655
01/01/2021 10:00;986.12;21.53;49.5;302.73;2.42;100.01;0;986.12
01/01/2021 10:15;994.795;21.6925;49.03;303.815;2.6275;100.0075;127.94366754452;973.03773773218
01/01/2021 10:30;1003.47;21.855;48.56;304.9;2.835;100.005;255.88733508904;959.95547546436
01/01/2021 10:45;1012.145;22.0175;48.09;305.985;3.0425;100.0025;383.83100263356;946.87321319654
01/01/2021 11:00;1020.82;22.18;47.62;307.07;3.25;100;511.77467017808;933.79095092872
01/01/2021 11:15;1020.9225;22.1225;47.9025;307.38;3.4875;99.9975;566.113655606169;889.153959612796
01/01/2021 11:30;1021.025;22.065;48.185;307.69;3.725;99.995;620.452641034258;844.516968296871
01/01/2021 11:45;1021.1275;22.0075;48.4675;308;3.9625;99.9925;674.791626462347;799.879976980947
01/01/2021 12:00;1021.23;21.95;48.75;308.31;4.2;99.99;729.130611890435;755.242985665023
01/01/2021 12:15;1016.11;21.7825;49.375;307.4975;4.385;99.985;753.8502470075;702.721508087521
01/01/2021 12:30;1010.99;21.615;50;306.685;4.57;99.98;778.569882124565;650.200030510018
01/01/2021 12:45;1005.87;21.4475;50.625;305.8725;4.755;99.975;803.28951724163;597.678552932515
01/01/2021 13:00;1000.75;21.28;51.25;305.06;4.94;99.97;828.009152358695;545.157075355013
01/01/2021 13:15;962.645;21.08;51.9225;303.6575;5.08;99.9625;873.849775343546;440.495982851418
01/01/2021 13:30;924.54;20.88;52.595;302.255;5.22;99.955;919.690398328397;335.834890347823
01/01/2021 13:45;886.435;20.68;53.2675;300.8525;5.36;99.9475;965.531021313248;231.173797844229
01/01/2021 14:00;848.33;20.48;53.94;299.45;5.5;99.94;1011.3716442981;126.512705340634
01/01/2021 14:15;809.43;20.2825;54.58;297.7225;5.6325;99.9325;841.493509707619;198.037683122981
01/01/2021 14:30;770.53;20.085;55.22;295.995;5.765;99.925;671.615375117139;269.562660905329
01/01/2021 14:45;731.63;19.8875;55.86;294.2675;5.8975;99.9175;501.737240526659;341.087638687677
01/01/2021 15:00;692.73;19.69;56.5;292.54;6.03;99.91;331.859105936178;412.612616470024
01/01/2021 15:15;643.1675;19.52;57.015;290.77;6.165;99.9075;262.530724111514;420.363613582754
01/01/2021 15:30;593.605;19.35;57.53;289;6.3;99.905;193.202342286849;428.114610695484
01/01/2021 15:45;544.0425;19.18;58.045;287.23;6.435;99.9025;123.873960462185;435.865607808214
01/01/2021 16:00;494.48;19.01;58.56;285.46;6.57;99.9;54.5455786375202;443.616604920943
01/01/2021 16:15;440.695;18.7525;59.53;283.94;6.7;99.905;44.3158499739963;399.233111238007
01/01/2021 16:30;386.91;18.495;60.5;282.42;6.83;99.91;34.0861213104725;354.849617555071
01/01/2021 16:45;333.125;18.2375;61.47;280.9;6.96;99.915;23.8563926469486;310.466123872135
01/01/2021 17:00;279.34;17.98;62.44;279.38;7.09;99.92;13.6266639834247;266.082630189199
01/01/2021 17:15;228.51;17.565;64.3;277.9075;7.2075;99.9225;10.2199979875685;218.566972641899
01/01/2021 17:30;177.68;17.15;66.16;276.435;7.325;99.925;6.81333199171236;171.0513150946
01/01/2021 17:45;126.85;16.735;68.02;274.9625;7.4425;99.9275;3.40666599585618;123.5356575473
01/01/2021 18:00;76.02;16.32;69.88;273.49;7.56;99.93;0;76.02
01/01/2021 18:15;57.015;15.895;72.145;272.025;7.555;99.93;0;57.015
01/01/2021 18:30;38.01;15.47;74.41;270.56;7.55;99.93;0;38.01
01/01/2021 18:45;19.005;15.045;76.675;269.095;7.545;99.93;0;19.005
01/01/2021 19:00;0;14.62;78.94;267.63;7.54;99.93;0;0
01/01/2021 19:15;0;14.385;80.4075;266.9825;7.42;99.925;0;0
01/01/2021 19:30;0;14.15;81.875;266.335;7.3;99.92;0;0
01/01/2021 19:45;0;13.915;83.3425;265.6875;7.18;99.915;0;0
01/01/2021 20:00;0;13.68;84.81;265.04;7.06;99.91;0;0
01/01/2021 20:15;0;13.58;85.4825;264.65;6.9125;99.9;0;0
01/01/2021 20:30;0;13.48;86.155;264.26;6.765;99.89;0;0
01/01/2021 20:45;0;13.38;86.8275;263.87;6.6175;99.88;0;0
01/01/2021 21:00;0;13.28;87.5;263.48;6.47;99.87;0;0
01/01/2021 21:15;0;13.2375;87.8275;262.7125;6.285;99.8575;0;0
01/01/2021 21:30;0;13.195;88.155;261.945;6.1;99.845;0;0
01/01/2021 21:45;0;13.1525;88.4825;261.1775;5.915;99.8325;0;0
01/01/2021 22:00;0;13.11;88.81;260.41;5.73;99.82;0;0
01/01/2021 22:15;0;13.0825;88.9825;259.8225;5.635;99.8;0;0
01/01/2021 22:30;0;13.055;89.155;259.235;5.54;99.78;0;0
01/01/2021 22:45;0;13.0275;89.3275;258.6475;5.445;99.76;0;0
01/01/2021 23:00;0;13;89.5;258.06;5.35;99.74;0;0
01/01/2021 23:15;0;12.98;89.5775;258.2075;5.3325;99.7175;0;0
01/01/2021 23:30;0;12.96;89.655;258.355;5.315;99.695;0;0
01/01/2021 23:45;0;12.94;89.7325;258.5025;5.2975;99.6725;0;0
02/01/2021 00:00;0;12.92;89.81;258.65;5.28;99.65;0;0
02/01/2021 00:15;0;12.89;89.9525;259.525;5.2275;99.63;0;0
02/01/2021 00:30;0;12.86;90.095;260.4;5.175;99.61;0;0
02/01/2021 00:45;0;12.83;90.2375;261.275;5.1225;99.59;0;0
02/01/2021 01:00;0;12.8;90.38;262.15;5.07;99.57;0;0
02/01/2021 01:15;0;12.77;90.55;262.16;4.855;99.57;0;0
02/01/2021 01:30;0;12.74;90.72;262.17;4.64;99.57;0;0
02/01/2021 01:45;0;12.71;90.89;262.18;4.425;99.57;0;0
02/01/2021 02:00;0;12.68;91.06;262.19;4.21;99.57;0;0
