id,DAY,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,WINDSPEED,VAPOR_PRESSURE,PRECIPITATION,ET0,RADIATION
1,20050101,8.7,4.6,6.6,3.6,10.38,3.7,.15,2160
2,20050102,7.8,7.1,7.4,3.9,8.13,.4,.89,3010
3,20050103,6.3,-.3,3,2.2,6.68,0,.37,3440
4,20050104,4.3,-1.5,1.4,2.9,6.13,0,.36,4217
5,20050105,7.4,0,3.7,4.8,8.23,2.6,.27,2448
6,20050106,9.5,6.1,7.8,3.7,9.88,.2,.54,2352
7,20050107,9.9,4.3,7.1,2.8,8.78,0,.6,3274
8,20050108,10,.3,5.2,4.8,8.33,1,.58,4226
9,20050109,10.8,6.9,8.9,3.2,9.88,.2,.72,2558
10,20050110,11.3,2.1,6.7,3.6,7.83,.1,.76,6682
11,20050111,10.7,4.6,7.7,3.6,8.33,0,.91,3919
12,20050112,7.5,6.3,6.9,2.9,9.23,3.1,.49,2363
13,20050113,6,1.8,3.9,1.8,07.03,0,.28,5666
14,20050114,2.8,-3.1,-.1,1.8,5.73,0,.33,3109
15,20050115,0,-4.8,-2.4,.9,5.23,0,.17,3251
16,20050116,3.2,-3,.1,2.4,5.73,0,.37,3739
17,20050117,3.1,-1.5,.8,3.3,6.68,2.6,.23,2681
18,20050118,6.6,2.3,4.4,6,7.33,6.1,.77,2929
19,20050119,6.7,1.2,4,3.6,6.98,1.6,.61,4588
20,20050120,9.6,2.3,5.9,6,9.43,3.3,.4,2592
21,20050121,9.2,8.1,8.7,4.9,8.63,4.1,1.24,2814
22,20050122,5.1,1.8,3.5,1.8,6.78,10.2,.47,3340
23,20050123,3.4,-1.5,1,4.1,5.73,1.8,.53,5037
24,20050124,2.1,-1.9,.1,5,4.73,.4,.81,5426
25,20050125,-.5,-4.9,-2.7,5.5,3.93,.3,.67,6410
26,20050126,-1.2,-5.2,-3.2,7.9,3.58,.3,.9,4588
27,20050127,-1.2,-6.1,-3.6,4.4,3.43,.9,.66,7891
28,20050128,-1.3,-6,-3.6,2,4.48,.1,.31,2886
29,20050129,-.9,-6,-3.4,3.9,3.73,.2,.58,7075
30,20050130,-1.3,-8,-4.6,2.3,3.73,.1,.44,3005
31,20050131,2.2,-1.7,.3,2,6.13,.6,.33,3013
32,20050201,5.7,1.1,3.4,4.5,6.78,.4,.71,3864
33,20050202,5.6,0,2.8,2.3,07.03,1.1,.48,3101
34,20050203,6.2,1.8,4,2.9,6.98,.2,.69,3184
35,20050204,6.9,-.8,3.1,2.9,5.98,0,.78,8490
36,20050205,3.2,-3.5,-.2,2.3,5.33,0,.58,4984
37,20050206,6.1,-2,2.1,1.8,5.93,0,.65,6333
38,20050207,6.7,-1.8,2.4,1.4,6.23,0,.56,6081
39,20050208,10.5,-.7,4.9,1.6,06.08,0,.88,8963
40,20050209,11.9,-2.6,4.7,1.9,06.08,0,01.03,9994
41,20050210,9,-1,4,3.5,7.28,.5,.81,4378
42,20050211,8.1,5.4,6.8,5.6,9.58,16.2,.58,3543
43,20050212,11,7.8,9.4,6.6,10.63,6.1,.97,3596
44,20050213,6.6,3.5,5,5.6,6.53,5.9,1.32,4566
45,20050214,3.6,-.2,1.7,5.3,5.98,3.3,.77,4511
46,20050215,1.4,-.7,.4,5.8,5.23,.3,.82,4896
47,20050216,.5,-1.6,-.6,6,4.33,.1,01.04,5582
48,20050217,.7,-3.6,-1.4,4.3,3.98,0,.94,5029
49,20050218,1.4,-3.8,-1.2,2.9,04.03,2.6,.85,5013
50,20050219,3.7,-2.1,.8,4.4,5.68,4,.73,4239
51,20050220,1.3,-1.4,-.1,3.3,5.28,1.2,.65,4725
52,20050221,2.6,-1.8,.4,2.6,5.13,.3,.75,5940
53,20050222,.7,-4.1,-1.7,2.2,4.83,.7,.56,4857
54,20050223,.4,-4.5,-2,1.7,4.33,.5,.61,5534
55,20050224,.2,-5.2,-2.5,1.4,4.28,.3,.57,5467
56,20050225,1.7,-7.2,-2.7,2.7,3.98,0,.8,9391
57,20050226,2.3,-5.6,-1.7,3.4,3.93,.4,01.05,11830
58,20050227,-1.3,-3.7,-2.5,5.8,3.63,.6,01.03,6264
59,20050228,-2.8,-9.5,-6.1,5.6,2.33,0,1.17,13989
60,20050301,.3,-11.7,-5.7,2.1,2.43,0,.99,14042
61,20050302,4.3,-9.6,-2.6,3,2.83,0,1.4,13448
62,20050303,1.1,-3.8,-1.4,1.3,4.88,3.2,.58,4864
63,20050304,1.1,-3.5,-1.2,1.6,4.73,1.5,.77,6680
64,20050305,1.9,-2.9,-.5,3,5.38,1.9,.64,5090
65,20050306,.7,-.9,-.1,4.4,4.38,.5,1.13,7311
66,20050307,1.3,-5.9,-2.3,2.5,4.93,1.9,.56,5269
67,20050308,4.7,-.8,2,3.4,6.38,.7,.75,5047
68,20050309,5.2,1.8,3.5,3,6.63,.4,.91,5113
69,20050310,6.3,1.8,4,2.5,6.28,0,1.12,5874
70,20050311,7.9,-.4,3.7,3.8,5.48,0,1.63,10979
71,20050312,5.5,3.4,4.4,4.8,06.08,1.9,1.4,5311
72,20050313,7.7,-5.2,1.3,1.6,4.98,0,1.31,14512
73,20050314,11.2,-2.8,4.2,2.1,5.48,0,1.62,11196
74,20050315,17.5,-1.8,7.9,2.4,7.43,0,2.31,16579
75,20050316,21.6,2.7,12.2,3.4,8.33,0,3.33,16775
76,20050317,19.3,5.9,12.6,2.9,10.03,0,2.51,13664
77,20050318,20.7,4.6,12.6,1.6,10.73,0,2.28,15717
78,20050319,21.1,4.1,12.6,2.7,9.43,0,2.91,16063
79,20050320,19.3,7.2,13.2,3.3,10.93,0,2.67,16145
80,20050321,21,5.2,13.1,2.5,9.98,0,2.6,13609
81,20050322,13.2,9.5,11.3,3.8,10.63,2.4,1.61,5981
82,20050323,18.9,7.2,13.1,2.4,11.28,.1,2.38,14811
83,20050324,14.8,9.1,12,2.9,11.48,2.5,1.52,6496
84,20050325,18,5.4,11.7,2.1,10.33,0,2.12,13241
85,20050326,16.9,6.7,11.8,2.9,11.13,4.6,1.8,8173
86,20050327,14.5,9.3,11.9,3.1,11.53,2.6,1.63,8095
87,20050328,15.1,8.3,11.7,2.1,11.53,2,1.55,8387
88,20050329,14.2,7.1,10.6,3.1,11.23,2.2,1.48,8530
89,20050330,14.1,8.6,11.4,2.6,10.53,2.8,1.74,8715
90,20050331,13.4,7.3,10.3,2.3,10.23,1,1.61,9191
91,20050401,17.6,4.8,11.2,2.9,8.48,0,03.03,19138
92,20050402,19.5,4.4,12,2.8,8.18,0,3.34,19726
93,20050403,17.8,6.9,12.4,2.8,7.68,0,3.13,15890
94,20050404,17.1,6.8,11.9,2.7,08.08,2.4,2.82,14226
95,20050405,13.9,7.1,10.5,2.1,10.13,.8,1.62,8591
96,20050406,15.6,5.5,10.6,3.6,11.58,4.2,1.56,8854
97,20050407,10.4,9.5,9.9,4.7,10.73,9.1,1.39,7156
98,20050408,10.7,4.9,7.8,4.1,7.78,5,2.16,13550
99,20050409,7.1,1.8,4.5,5.7,5.68,0,1.99,10606
100,20050410,11.4,2,6.7,3.8,07.08,.1,1.97,10389
101,20050411,14.7,3.9,9.3,6.2,7.38,0,3.49,20944
102,20050412,15.7,3.5,9.6,3.2,8.28,0,2.6,14794
103,20050413,15.2,6.4,10.8,2.4,9.23,0,2.25,12192
104,20050414,18.2,5.4,11.8,2.9,9.43,4.8,2.8,14634
105,20050415,11.2,5.9,8.6,2.5,09.03,2.3,1.58,8875
106,20050416,7.3,5.5,6.4,4.5,8.98,11.6,01.06,7601
107,20050417,11.3,5.8,8.6,5.3,8.93,.5,1.78,9250
108,20050418,12.1,5.5,8.8,3.1,10.23,4.8,1.36,7905
109,20050419,14.1,3.9,9,3.3,8.58,1.1,2.54,17048
110,20050420,13,3.3,8.1,2.6,8.53,.3,1.87,10930
111,20050421,14.9,5.7,10.3,2.4,8.13,0,2.78,17220
112,20050422,18.1,1.4,9.7,2,6.93,.5,3.3,21937
113,20050423,15.9,8.4,12.2,2.3,11.38,2.8,1.91,9510
114,20050424,15.7,9.7,12.7,2.5,12.13,7.2,1.83,9197
115,20050425,14.7,9.2,12,3.5,10.98,.8,02.08,9761
116,20050426,17.4,7.4,12.4,3.3,11.33,3.8,2.59,14446
117,20050427,16.4,9.2,12.8,2.5,10.83,0,2.59,14306
