J;DAY;TEMPERATURE_MIN;TEMPERATURE_AVG;TEMPERATURE_MIN;PRECIPITATION;RADIATION;ET0;RADIATION_MJ;ST_grass
1;01/01/2016;4.3;6.1;8.7;0.4;390.2;0.2;3.9;6.1
2;02/01/2016;5.8;7.5;9.5;1.6;203.4;0.4;2.03;13.6
3;03/01/2016;3.5;6.1;8;2.5;215.3;0.4;2.15;19.7
4;04/01/2016;3.3;5.8;7.1;3.7;146.2;0.3;1.46;25.5
5;05/01/2016;5.5;6.2;7.1;0;198.7;0.3;1.99;31.7
6;06/01/2016;4.4;6.1;8;0;191.2;0.2;1.91;37.8
7;07/01/2016;4;5.9;7.3;8;79.6;0.5;0.8;43.7
8;08/01/2016;2.3;4.1;7.4;0;491.8;0.3;4.92;47.8
9;09/01/2016;2.4;4.9;6.7;0;260.6;0.2;2.61;52.7
10;10/01/2016;5.3;6.5;8.2;9.5;323.3;0.3;3.23;59.2
11;11/01/2016;3.6;5.4;6.8;13.7;138.2;0.4;1.38;64.6
12;12/01/2016;4.3;5.2;6.7;3.1;267.1;0.5;2.67;69.8
13;13/01/2016;1.3;4.3;5.6;4.8;238.3;0.6;2.38;74.1
14;14/01/2016;1;2.3;3.6;6.1;148;0.4;1.48;76.4
15;15/01/2016;0.6;0.8;1.3;1.5;162.4;0.2;1.62;77.2
16;16/01/2016;-0.9;0.8;2.8;8;455.8;0.1;4.56;78
17;17/01/2016;-5.8;-1.6;0.9;0.2;512.3;0.2;5.12;76.4
18;18/01/2016;-8.8;-5.6;-0.2;0;421.6;0.3;4.22;70.8
19;19/01/2016;-8.9;-5.9;0.3;0;634.3;0.1;6.34;64.9
20;20/01/2016;-6.2;-1.8;0.9;0;231.5;0.1;2.32;63.1
21;21/01/2016;-1.7;0.5;3.6;2.3;626;0;6.26;63.6
22;22/01/2016;-3.7;-0.2;2.6;5.1;457.6;0.3;4.58;63.4
23;23/01/2016;2.8;4.5;5.7;0.1;279.7;0;2.8;67.9
24;24/01/2016;3.5;5.6;7.3;0.3;185.4;0.3;1.85;73.5
25;25/01/2016;6.6;9.7;14.4;0;664.9;0.3;6.65;83.2
26;26/01/2016;8.3;9.2;10;0.1;253.1;0.8;2.53;92.4
27;27/01/2016;8.5;9.6;10.6;2.6;218.2;1.1;2.18;102
28;28/01/2016;2.8;6.4;9.3;3;459.7;0.7;4.6;108.4
29;29/01/2016;2.3;5.5;8.1;0;251.3;0.8;2.51;113.9
30;30/01/2016;3;6.3;8.2;16.2;82.4;0.6;0.82;120.2
31;31/01/2016;3.9;6.7;11.5;1.5;213.5;0.5;2.14;126.9
32;01/02/2016;10;10.8;11.5;0.6;189.7;0.8;1.9;137.7
33;02/02/2016;6.1;9.1;11.2;8.9;139.3;0.8;1.39;146.8
34;03/02/2016;3.8;4.6;5.8;1;413.3;0.9;4.13;151.4
35;04/02/2016;2.2;4.6;8;4.5;143.3;0.4;1.43;156
36;05/02/2016;4.8;8.2;9.8;0;158.8;0.3;1.59;164.2
37;06/02/2016;7.2;9.1;10.7;0;431.6;1;4.32;173.3
38;07/02/2016;5.8;8;10.5;2.3;504.4;1.4;5.04;181.3
39;08/02/2016;6.6;7.7;9.3;14.1;478.8;1.7;4.79;189
40;09/02/2016;2.6;5.7;10.5;21;217.4;0.9;2.17;194.7
41;10/02/2016;2.1;3.5;4.8;3.2;230;0.6;2.3;198.2
42;11/02/2016;2.5;3.8;5.7;0.4;414.4;0.4;4.14;202
43;12/02/2016;-0.6;2.4;4.6;0;574.6;0.6;5.75;204.4
44;13/02/2016;-1.3;1.8;3.8;2.3;317.5;0.4;3.18;206.2
45;14/02/2016;0.7;2.1;3.7;2.3;130.3;0.2;1.3;208.3
46;15/02/2016;-1.1;0.9;3.6;1.4;555.5;0.6;5.56;209.2
47;16/02/2016;-3.6;-0.8;3.4;0;1101.6;0.5;11.02;208.4
48;17/02/2016;-5.3;-0.3;4.9;0;841.3;0.4;8.41;208.1
49;18/02/2016;-0.2;1.7;4.1;0;802.1;0.6;8.02;209.8
50;19/02/2016;0.5;2.8;6.7;0.7;886.3;0.6;8.86;212.6
51;20/02/2016;3.7;7.3;10.9;10.6;214.9;0.4;2.15;219.9
52;21/02/2016;10;10.6;11.4;1.9;220.3;0.5;2.2;230.5
53;22/02/2016;2.9;8;10.2;10.2;217.8;0.8;2.18;238.5
54;23/02/2016;0.9;2.6;6.1;7.2;540.4;0.7;5.4;241.1
55;24/02/2016;-0.3;2.2;5.8;0.1;940;0.6;9.4;243.3
56;25/02/2016;-2.3;0.4;3.8;0;879.1;0.5;8.79;243.7
57;26/02/2016;0.1;1.3;2.9;0.5;292;0.3;2.92;245
58;27/02/2016;0.2;2.6;6.5;0;1253.2;1.2;12.53;247.6
59;28/02/2016;-1.8;1.3;4.5;0;929.5;1.3;9.3;248.9
60;29/02/2016;-1.4;1.6;5.6;0;1313.6;1.3;13.14;250.5
61;01/03/2016;-3.4;0.8;4.8;1.5;539.6;0.7;5.4;251.3
62;02/03/2016;1.8;5.6;8.2;2.9;742;1.1;7.42;256.9
63;03/03/2016;1;2.5;5.4;5.4;486.4;0.7;4.86;259.4
64;04/03/2016;1.1;2.8;4.7;4.5;323.3;0.5;3.23;262.2
65;05/03/2016;0.2;1.7;4;1.1;323.6;0.4;3.24;263.9
66;06/03/2016;0.5;2.2;4.3;3.7;483.8;0.4;4.84;266.1
67;07/03/2016;-1.2;1.1;3.2;2.7;433.8;0.5;4.34;267.2
68;08/03/2016;-1.6;0.9;4;0.1;592.2;0.5;5.92;268.1
69;09/03/2016;0.6;3.5;8.2;0;1024.6;1.1;10.25;271.6
70;10/03/2016;-0.2;4.5;10.4;0;1512.4;1.2;15.12;276.1
71;11/03/2016;0.1;4.7;9.6;0;1301.8;1.2;13.02;280.8
72;12/03/2016;-0.6;3.9;9.3;0;1570;1.2;15.7;284.7
73;13/03/2016;-1.2;3.7;9.6;0;1627.9;1.4;16.28;288.4
74;14/03/2016;-1.5;3.4;8.9;0;1543.3;1.5;15.43;291.8
75;15/03/2016;-0.3;4;8.4;0;1015.6;1.2;10.16;295.8
76;16/03/2016;0.8;4;7.6;0;1321.9;1.6;13.22;299.8
77;17/03/2016;-1.2;4.8;10.9;0;1750.3;1.6;17.5;304.6
78;18/03/2016;-1.2;1.6;3.7;0;545.4;0.6;5.45;306.2
79;19/03/2016;3.1;4.3;5.4;0.1;303.1;0.6;3.03;310.5
80;20/03/2016;3.4;5.1;7.7;0.1;524.2;0.9;5.24;315.6
81;21/03/2016;4.5;6.3;8.6;1.2;627.5;0.9;6.28;321.9
82;22/03/2016;3;7;10.8;0;1041.5;1.2;10.42;328.9
83;23/03/2016;5;7;9.2;0.9;666.4;1.1;6.66;335.9
84;24/03/2016;5.7;7.2;8.9;0.1;533.9;1.1;5.34;343.1
85;25/03/2016;5;6.7;9.5;6.2;456.5;0.9;4.57;349.8
86;26/03/2016;1.8;8.7;14.5;0;1446.1;1.7;14.46;358.5
87;27/03/2016;5.8;9.3;12.4;3.2;1393.6;2;13.94;367.8
88;28/03/2016;5.4;8.2;10.4;9.4;749.2;1.6;7.49;376
89;29/03/2016;4.6;8.2;11.8;1.7;1324.8;2.2;13.25;384.2
90;30/03/2016;6.3;8.7;11.2;2.8;1077.8;1.6;10.78;392.9
91;31/03/2016;4.5;5.5;6.3;10.9;345.2;0.7;3.45;398.4
92;01/04/2016;3.5;7.3;10.9;0.1;1147.3;1.4;11.47;405.7
93;02/04/2016;6.6;11.2;16.9;0;1128.6;1.4;11.29;416.9
