id,Crop,Cultivar,Tsum,HI,I50A,I50C,I50B,Tbase,Topt,RUE,I50maxH,I50maxW,Tmax,Text,SCO2,Swater,LAI_a_factor,LAI_b_factor,H_max,RZD,Fw/Dw
1,wheat,yecora rojo,2200,0.36,480,NaN,200,0,15,1.24,100,25,34,45,0.0008,0.4,0.003,1.2002,80,1000,1.2
2,wheat,batten,2150,0.34,280,NaN,50,0,15,1.24,100,25,34,45,0.0008,0.4,0.003,1.2002,80,1000,1.2
3,wheat,winter,1472,0.5,250,NaN,700,0,15,1.24,100,25,28,40,0.0008,0.4,0.003,1.2002,120,2000,1.2
4,rice,ir72,2300,0.47,850,NaN,200,9,26,1.24,100,10,34,50,0.0008,1,0.0133,0.3028,100,500,1.1
5,maize,mccurdy 84aa,2050,0.5,500,NaN,50,8,28,2.1,100,12,34,50,0.0001,1.2,0.0188,0,180,900,1.2
6,soybean,bragg,2500,0.35,680,NaN,300,6,27,0.86,120,20,36,50,0.0007,0.9,0.0069,0,150,1300,1.1
7,soybean,williams82,2350,0.4,600,NaN,200,6,27,0.86,120,20,36,50,0.0007,0.9,0.0069,0,150,1300,1.1
8,dry bean,porrillo sintetico,2700,0.4,450,NaN,600,5,27,0.8,90,20,32,45,0.0007,0.9,0.009,0,60,700,1.1
9,peanut,florunner,3100,0.35,520,NaN,550,10,28,1.2,100,5,36,50,0.0007,2,0.0045,0,45,1800,1.1
10,potato,sebago,2400,0.85,500,NaN,350,4,22,1.3,50,30,34,45,0.0001,0.4,0.0004,0,100,1000,5
11,potato,desiree,2700,0.8,690,NaN,400,4,22,1.3,50,30,34,45,0.0001,0.4,0.0004,0,100,1000,5
12,potato,zibaihua,2500,0.45,690,NaN,500,4,22,1.3,50,30,34,45,0.0001,0.4,0.0004,0,100,1000,5
13,potato,jinguan,2400,0.45,690,NaN,450,4,22,1.3,50,30,34,45,0.0001,0.4,0.0004,0,100,1000,5
14,potato,russet burbank,2300,0.9,500,NaN,400,4,22,1.3,50,30,34,45,0.0001,0.4,0.0004,0,100,1000,5
15,potato,hilite russet,2500,0.9,480,NaN,400,4,22,1.3,50,30,34,45,0.0001,0.4,0.0004,0,100,1000,5
16,cassava,Mcol-1684,5400,0.65,650,NaN,300,12,28,1.1,100,15,38,50,0.0007,1,0.0004,0,100,1000,3.2
17,tomato,sunnySD,2800,0.68,520,NaN,400,6,26,1,100,5,32,45,0.0007,2.5,0.001,0,360,600,20.9
18,tomato,agriset761,2300,0.5,550,NaN,300,6,26,1,100,5,32,45,0.0007,2.5,0.001,0,360,600,20.9
19,sweetcorn,gss0966 sh2,1900,0.4,500,NaN,250,8,27,1.7,100,5,34,50,0.0001,2,0.0005,0,240,1500,1.2
20,greenbean,bronco habit 1,1600,0.45,370,NaN,300,5,27,0.86,100,10,32,45,0.0007,0.4,0.0012,0,60,1000,10
21,carrot,kazan f1,2450,0.7,550,NaN,250,4,22,1,100,5,32,45,0.0007,2,0.0001,0,15,600,9.6
22,cotton,deltapine77,4600,0.4,680,NaN,200,11,28,0.85,40,10,35,50,0.0009,1.2,0.0028,0.0913,180,1000,1.1
23,banana,prata ana,6600,0.19,600,NaN,400,10,25,0.8,100,5,34,45,0.0007,2.5,0.0008,0,500,800,4.3
24,sugar beet,sugar beet,9850,0.55,600,6315,NaN,3,13,1.6,NaN,5,25,30,0.0008,1.9,0.003,0,60,1000,6.22
