;Kc;Cle;Sky category;CIE Sky Type
0;0.01;0.0;O;1
1;0.05;0.0;O;1
2;0.1;0.0;O;1
3;0.15;0.0;O;1
4;0.2;0.0;O;1
5;0.25;0.0;O;1
6;0.3;0.0;O;1
7;0.35;0.0;O;1
8;0.4;0.0;O;1
9;0.45;0.0;IO;4
10;0.5;0.0;IO;4
11;0.55;0.0;IO;4
12;0.6;0.0;IO;4
13;0.65;0.0;IO;4
14;0.7;0.0;IO;4
15;0.75;0.0;;5
16;0.8;0.0;;5
17;0.85;0.0;;5
18;0.9;0.0;;5
19;0.95;0.0;;5
20;1.0;0.0;;5
21;1.05;0.0;;5
22;1.1;0.0;;5
23;1.15;0.0;;5
24;1.2;0.0;;5
25;1.25;0.0;;5
26;0.01;0.05;O;1
27;0.05;0.05;O;1
28;0.1;0.05;O;1
29;0.15;0.05;O;1
30;0.2;0.05;IO;4
31;0.25;0.05;IO;4
32;0.3;0.05;IO;4
33;0.35;0.05;IO;4
34;0.4;0.05;IO;4
35;0.45;0.05;IO;4
36;0.5;0.05;IO;4
37;0.55;0.05;I;7
38;0.6;0.05;I;7
39;0.65;0.05;I;7
40;0.7;0.05;I;7
41;0.75;0.05;I;7
42;0.8;0.05;I;7
43;0.85;0.05;I;7
44;0.9;0.05;;5
45;0.95;0.05;;5
46;1.0;0.05;;5
47;1.05;0.05;;5
48;1.1;0.05;;5
49;1.15;0.05;;5
50;1.2;0.05;;5
51;1.25;0.05;;5
52;0.01;0.1;O;1
53;0.05;0.1;O;1
54;0.1;0.1;IO;4
55;0.15;0.1;IO;4
56;0.2;0.1;IO;4
57;0.25;0.1;IO;4
58;0.3;0.1;IO;4
59;0.35;0.1;IO;4
60;0.4;0.1;IO;4
61;0.45;0.1;I;7
62;0.5;0.1;I;7
63;0.55;0.1;I;7
64;0.6;0.1;I;7
65;0.65;0.1;I;7
66;0.7;0.1;I;7
67;0.75;0.1;I;7
68;0.8;0.1;I;7
69;0.85;0.1;I;7
70;0.9;0.1;I;7
71;0.95;0.1;;5
72;1.0;0.1;;5
73;1.05;0.1;;5
74;1.1;0.1;;5
75;1.15;0.1;;5
76;1.2;0.1;;5
77;1.25;0.1;;5
78;0.01;0.15;O;1
79;0.05;0.15;IO;4
80;0.1;0.15;IO;4
81;0.15;0.15;IO;4
82;0.2;0.15;IO;4
83;0.25;0.15;IO;4
84;0.3;0.15;IO;4
85;0.35;0.15;I;7
86;0.4;0.15;I;7
87;0.45;0.15;I;7
88;0.5;0.15;I;7
89;0.55;0.15;I;7
