date,G(h),T2m,VAPOR_PRESSURE,WD10m,WS10m,PRECIP
01/01/2021 00:00,0,13.02,9.69,252.31,4.71,0
01/01/2021 00:15,0,12.9775,9.69,252.75,4.595,0
01/01/2021 00:30,0,12.935,9.69,253.19,4.48,0
01/01/2021 00:45,0,12.8925,9.69,253.63,4.365,0
01/01/2021 01:00,0,12.85,9.69,254.07,4.25,0
01/01/2021 01:15,0,12.8,9.69,253.665,4.0275,0
01/01/2021 01:30,0,12.75,9.69,253.26,3.805,0
01/01/2021 01:45,0,12.7,9.69,252.855,3.5825,0
01/01/2021 02:00,0,12.65,9.69,252.45,3.36,0
01/01/2021 02:15,0,12.5625,9.69,251.57,3.165,0
01/01/2021 02:30,0,12.475,9.69,250.69,2.97,0
01/01/2021 02:45,0,12.3875,9.69,249.81,2.775,0
01/01/2021 03:00,0,12.3,9.69,248.93,2.58,0
01/01/2021 03:15,0,12.1925,9.69,247.245,2.435,0
01/01/2021 03:30,0,12.085,9.69,245.56,2.29,0
01/01/2021 03:45,0,11.9775,9.69,243.875,2.145,0
01/01/2021 04:00,0,11.87,9.69,242.19,2,0
01/01/2021 04:15,30.7325,12.085,9.69,239.0775,1.9325,0
01/01/2021 04:30,61.465,12.3,9.69,235.965,1.865,0
01/01/2021 04:45,92.1975,12.515,9.69,232.8525,1.7975,0
01/01/2021 05:00,122.93,12.73,9.69,229.74,1.73,0
01/01/2021 05:15,172.6125,13.09,9.69,229.3525,1.67,0
01/01/2021 05:30,222.295,13.45,9.69,228.965,1.61,0
01/01/2021 05:45,271.9775,13.81,9.69,228.5775,1.55,0
01/01/2021 06:00,321.66,14.17,9.66,228.19,1.49,0
01/01/2021 06:15,377.1925,14.7275,9.66,231.8975,1.4375,0
01/01/2021 06:30,432.725,15.285,9.66,235.605,1.385,0
01/01/2021 06:45,488.2575,15.8425,9.66,239.3125,1.3325,0
01/01/2021 07:00,543.79,16.4,9.66,243.02,1.28,0
01/01/2021 07:15,592.4675,16.95,9.66,249.925,1.27,0
01/01/2021 07:30,641.145,17.5,9.66,256.83,1.26,0.01
01/01/2021 07:45,689.8225,18.05,9.66,263.735,1.25,0.01
01/01/2021 08:00,738.5,18.6,9.66,270.64,1.24,0
01/01/2021 08:15,781.94,19.035,9.66,277.13,1.3575,0
01/01/2021 08:30,825.38,19.47,9.66,283.62,1.475,0
01/01/2021 08:45,868.82,19.905,9.66,290.11,1.5925,0
01/01/2021 09:00,912.26,20.34,9.66,296.6,1.71,0
01/01/2021 09:15,930.725,20.6375,9.66,298.1325,1.8875,0
01/01/2021 09:30,949.19,20.935,9.66,299.665,2.065,0
01/01/2021 09:45,967.655,21.2325,9.66,301.1975,2.2425,0
01/01/2021 10:00,986.12,21.53,9.66,302.73,2.42,0
01/01/2021 10:15,994.795,21.6925,9.66,303.815,2.6275,0
01/01/2021 10:30,1003.47,21.855,9.66,304.9,2.835,0
01/01/2021 10:45,1012.145,22.0175,9.66,305.985,3.0425,0
01/01/2021 11:00,1020.82,22.18,9.66,307.07,3.25,0.01
01/01/2021 11:15,1020.9225,22.1225,9.66,307.38,3.4875,0.01
01/01/2021 11:30,1021.025,22.065,9.66,307.69,3.725,0
01/01/2021 11:45,1021.1275,22.0075,9.66,308,3.9625,0
01/01/2021 12:00,1021.23,21.95,7.96,308.31,4.2,0
01/01/2021 12:15,1016.11,21.7825,7.96,307.4975,4.385,0
01/01/2021 12:30,1010.99,21.615,7.96,306.685,4.57,0
01/01/2021 12:45,1005.87,21.4475,7.96,305.8725,4.755,0
01/01/2021 13:00,1000.75,21.28,7.96,305.06,4.94,0
01/01/2021 13:15,962.645,21.08,7.96,303.6575,05.08,0
01/01/2021 13:30,924.54,20.88,7.96,302.255,5.22,0
01/01/2021 13:45,886.435,20.68,7.96,300.8525,5.36,0
01/01/2021 14:00,848.33,20.48,7.96,299.45,5.5,0
01/01/2021 14:15,809.43,20.2825,7.96,297.7225,5.6325,0
01/01/2021 14:30,770.53,20.085,7.96,295.995,5.765,0
01/01/2021 14:45,731.63,19.8875,7.96,294.2675,5.8975,0
01/01/2021 15:00,692.73,19.69,7.96,292.54,06.03,0
01/01/2021 15:15,643.1675,19.52,7.96,290.77,6.165,0
01/01/2021 15:30,593.605,19.35,7.96,289,6.3,0
01/01/2021 15:45,544.0425,19.18,7.96,287.23,6.435,0
01/01/2021 16:00,494.48,19.01,7.96,285.46,6.57,0
01/01/2021 16:15,440.695,18.7525,7.96,283.94,6.7,0
01/01/2021 16:30,386.91,18.495,7.96,282.42,6.83,0
01/01/2021 16:45,333.125,18.2375,7.96,280.9,6.96,0
01/01/2021 17:00,279.34,17.98,7.96,279.38,07.09,0
01/01/2021 17:15,228.51,17.565,7.96,277.9075,7.2075,0
01/01/2021 17:30,177.68,17.15,7.96,276.435,7.325,0
01/01/2021 17:45,126.85,16.735,7.96,274.9625,7.4425,0
01/01/2021 18:00,76.02,16.32,8.36,273.49,7.56,0
01/01/2021 18:15,57.015,15.895,8.36,272.025,7.555,0
01/01/2021 18:30,38.01,15.47,8.36,270.56,7.55,0
01/01/2021 18:45,19.005,15.045,8.36,269.095,7.545,0
01/01/2021 19:00,0,14.62,8.36,267.63,7.54,0
01/01/2021 19:15,0,14.385,8.36,266.9825,7.42,0
01/01/2021 19:30,0,14.15,8.36,266.335,7.3,0
01/01/2021 19:45,0,13.915,8.36,265.6875,7.18,0
01/01/2021 20:00,0,13.68,8.36,265.04,07.06,0
01/01/2021 20:15,0,13.58,8.36,264.65,6.9125,0
01/01/2021 20:30,0,13.48,8.36,264.26,6.765,0
01/01/2021 20:45,0,13.38,8.36,263.87,6.6175,0
01/01/2021 21:00,0,13.28,8.36,263.48,6.47,0
01/01/2021 21:15,0,13.2375,8.36,262.7125,6.285,0
01/01/2021 21:30,0,13.195,8.36,261.945,6.1,0
01/01/2021 21:45,0,13.1525,8.36,261.1775,5.915,0
01/01/2021 22:00,0,13.11,8.36,260.41,5.73,0
01/01/2021 22:15,0,13.0825,8.36,259.8225,5.635,0
01/01/2021 22:30,0,13.055,8.36,259.235,5.54,0
01/01/2021 22:45,0,13.0275,8.36,258.6475,5.445,0
01/01/2021 23:00,0,13,8.36,258.06,5.35,0
01/01/2021 23:15,0,12.98,8.36,258.2075,5.3325,0
01/01/2021 23:30,0,12.96,8.36,258.355,5.315,0
