GRID_NO,LATITUDE,LONGITUDE,ALTITUDE,DAY,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,WINDSPEED,VAPOR_PRESSURE,PRECIPITATION,ET0,RADIATION,DATE
101094,50.69632,4.56668,130,20160101,7.5,4.0,5.7,3.5,8.2,2.4,0.32,2508,2016-01-01
101094,50.69632,4.56668,130,20160102,10.7,4.9,7.8,5.5,9.13,6.4,0.64,2768,2016-01-02
101094,50.69632,4.56668,130,20160103,7.1,6.1,6.6,6.6,8.47,9.6,0.63,1952,2016-01-03
101094,50.69632,4.56668,130,20160104,7.7,3.7,5.7,5.0,8.7,0.7,0.3,1647,2016-01-04
101094,50.69632,4.56668,130,20160105,7.4,5.2,6.3,4.4,8.6,0.5,0.48,1348,2016-01-05
101094,50.69632,4.56668,130,20160106,8.8,5.4,7.1,3.3,8.8,0.3,0.46,2254,2016-01-06
101094,50.69632,4.56668,130,20160107,8.4,5.4,6.9,6.5,8.2,9.1,0.92,1128,2016-01-07
101094,50.69632,4.56668,130,20160108,7.8,2.5,5.1,3.9,6.97,0.2,0.56,3943,2016-01-08
101094,50.69632,4.56668,130,20160109,7.4,4.0,5.7,5.2,8.47,3.4,0.37,2267,2016-01-09
101094,50.69632,4.56668,130,20160110,8.2,5.9,7.1,5.8,8.17,0.2,0.81,2934,2016-01-10
101094,50.69632,4.56668,130,20160111,7.3,3.1,5.2,5.2,8.2,4.6,0.4,1896,2016-01-11
101094,50.69632,4.56668,130,20160112,7.4,4.4,5.9,6.4,7.77,3.5,0.7,2679,2016-01-12
101094,50.69632,4.56668,130,20160113,6.0,4.5,5.3,5.9,7.23,0.8,0.76,2472,2016-01-13
101094,50.69632,4.56668,130,20160114,4.2,2.2,3.2,6.9,6.73,16.8,0.54,2169,2016-01-14
101094,50.69632,4.56668,130,20160115,2.2,0.1,1.2,5.3,6.43,16.5,0.25,1077,2016-01-15
101094,50.69632,4.56668,130,20160116,4.7,0.4,2.5,3.5,6.07,2.0,0.43,3979,2016-01-16
101094,50.69632,4.56668,130,20160117,2.1,-2.2,0.0,2.1,4.73,0.9,0.25,5057,2016-01-17
101094,50.69632,4.56668,130,20160118,-2.3,-8.1,-5.2,2.4,3.3,4.6,0.27,4229,2016-01-18
101094,50.69632,4.56668,130,20160119,-0.7,-7.7,-4.2,1.3,3.37,4.4,0.17,5194,2016-01-19
101094,50.69632,4.56668,130,20160120,0.4,-6.0,-2.8,2.8,4.73,1.0,0.23,2346,2016-01-20
101094,50.69632,4.56668,130,20160121,4.6,-3.0,0.8,2.3,4.93,5.7,0.34,5330,2016-01-21
101094,50.69632,4.56668,130,20160122,4.0,-2.3,0.9,5.0,5.83,4.9,0.4,3744,2016-01-22
101094,50.69632,4.56668,130,20160123,7.5,2.4,5.0,3.8,8.67,1.0,0.21,2225,2016-01-23
101094,50.69632,4.56668,130,20160124,8.2,4.0,6.1,4.7,9.4,0.3,0.22,1722,2016-01-24
101094,50.69632,4.56668,130,20160125,14.7,7.1,10.9,4.7,9.3,0.1,1.28,5910,2016-01-25
101094,50.69632,4.56668,130,20160126,10.7,9.0,9.9,6.5,10.17,0.3,0.96,2619,2016-01-26
101094,50.69632,4.56668,130,20160127,10.8,8.8,9.8,8.4,10.63,8.8,0.89,1353,2016-01-27
101094,50.69632,4.56668,130,20160128,7.7,5.8,6.8,3.8,7.93,0.0,0.66,4821,2016-01-28
101094,50.69632,4.56668,130,20160129,8.7,2.7,5.7,8.2,8.27,2.6,0.66,2498,2016-01-29
101094,50.69632,4.56668,130,20160130,8.1,7.7,7.9,7.9,8.7,14.6,1.09,1484,2016-01-30
101094,50.69632,4.56668,130,20160131,10.2,2.9,6.6,5.8,9.57,2.9,0.35,2103,2016-01-31
101094,50.69632,4.56668,130,20160201,11.1,10.0,10.6,8.6,11.3,1.9,0.86,1356,2016-02-01
101094,50.69632,4.56668,130,20160202,8.9,8.8,8.9,6.2,9.8,11.4,0.85,1390,2016-02-02
101094,50.69632,4.56668,130,20160203,6.3,4.1,5.2,4.4,7.13,0.6,0.72,4815,2016-02-03
101094,50.69632,4.56668,130,20160204,9.0,2.0,5.5,4.4,8.13,5.3,0.58,2235,2016-02-04
101094,50.69632,4.56668,130,20160205,9.5,5.1,7.3,4.8,10.27,0.4,0.29,1650,2016-02-05
101094,50.69632,4.56668,130,20160206,10.5,7.8,9.2,7.0,9.1,0.8,1.29,3135,2016-02-06
101094,50.69632,4.56668,130,20160207,8.8,7.4,8.1,8.1,7.97,4.5,1.5,4134,2016-02-07
101094,50.69632,4.56668,130,20160208,9.0,6.3,7.6,10.9,8.17,2.9,1.39,4243,2016-02-08
101094,50.69632,4.56668,130,20160209,8.1,5.6,6.8,6.8,7.57,10.4,1.31,1361,2016-02-09
101094,50.69632,4.56668,130,20160210,5.7,2.1,3.9,5.6,7.33,3.1,0.52,2948,2016-02-10
101094,50.69632,4.56668,130,20160211,5.6,2.0,3.8,3.3,7.33,2.5,0.45,3965,2016-02-11
101094,50.69632,4.56668,130,20160212,5.7,1.5,3.6,3.8,6.2,0.0,0.79,6738,2016-02-12
101094,50.69632,4.56668,130,20160213,3.1,-1.3,0.9,2.9,6.33,5.1,0.29,2750,2016-02-13
101094,50.69632,4.56668,130,20160214,3.0,1.6,2.3,3.2,6.67,3.8,0.41,2315,2016-02-14
101094,50.69632,4.56668,130,20160215,5.1,0.4,2.7,5.2,5.63,0.2,0.96,7624,2016-02-15
101094,50.69632,4.56668,130,20160216,3.8,-2.6,0.6,2.0,4.9,0.0,0.6,9594,2016-02-16
101094,50.69632,4.56668,130,20160217,4.1,-4.2,-0.1,1.8,5.0,0.0,0.56,9133,2016-02-17
101094,50.69632,4.56668,130,20160218,3.9,-0.9,1.5,3.6,5.3,1.9,0.78,4961,2016-02-18
101094,50.69632,4.56668,130,20160219,7.4,0.1,3.7,4.0,6.37,2.7,0.9,8768,2016-02-19
101094,50.69632,4.56668,130,20160220,9.8,3.7,6.7,8.1,9.87,12.0,0.3,3182,2016-02-20
101094,50.69632,4.56668,130,20160221,11.7,9.3,10.5,9.1,11.47,2.4,0.84,1938,2016-02-21
101094,50.69632,4.56668,130,20160222,9.6,9.1,9.4,6.4,9.43,16.3,1.22,1430,2016-02-22
101094,50.69632,4.56668,130,20160223,7.1,2.3,4.7,2.9,7.1,1.7,0.74,4850,2016-02-23
101094,50.69632,4.56668,130,20160224,6.7,-1.1,2.8,1.8,5.8,0.1,0.73,8306,2016-02-24
101094,50.69632,4.56668,130,20160225,5.4,-1.4,2.0,2.1,5.87,0.6,0.68,7460,2016-02-25
101094,50.69632,4.56668,130,20160226,3.7,0.5,2.1,1.6,6.0,0.0,0.59,4531,2016-02-26
101094,50.69632,4.56668,130,20160227,6.1,0.1,3.1,4.2,4.9,0.0,1.34,6680,2016-02-27
101094,50.69632,4.56668,130,20160228,5.3,-1.2,2.0,6.3,4.7,0.0,1.43,10289,2016-02-28
101094,50.69632,4.56668,130,20160229,5.9,-1.2,2.4,4.8,4.8,0.0,1.38,11897,2016-02-29
101094,50.69632,4.56668,130,20160301,4.7,-3.2,0.7,5.2,6.53,4.3,0.32,4523,2016-03-01
101094,50.69632,4.56668,130,20160302,8.7,4.3,6.5,7.0,7.47,9.5,1.38,8074,2016-03-02
101094,50.69632,4.56668,130,20160303,7.3,0.6,3.9,3.8,6.73,2.9,0.91,6578,2016-03-03
101094,50.69632,4.56668,130,20160304,5.7,1.4,3.6,4.1,6.77,7.3,0.74,4477,2016-03-04
101094,50.69632,4.56668,130,20160305,5.5,-0.8,2.4,2.0,6.23,2.0,0.66,4331,2016-03-05
101094,50.69632,4.56668,130,20160306,5.3,1.3,3.3,3.8,6.87,5.6,0.68,5306,2016-03-06
101094,50.69632,4.56668,130,20160307,5.0,0.0,2.5,1.4,6.13,1.4,0.7,5958,2016-03-07
101094,50.69632,4.56668,130,20160308,6.5,-1.7,2.4,3.0,6.3,0.4,0.79,7445,2016-03-08
101094,50.69632,4.56668,130,20160309,8.2,2.1,5.2,6.0,5.6,0.1,1.85,9538,2016-03-09
101094,50.69632,4.56668,130,20160310,9.6,-0.5,4.6,2.2,5.97,0.0,1.39,13633,2016-03-10
101094,50.69632,4.56668,130,20160311,9.5,-0.8,4.3,2.9,6.47,0.0,1.3,12183,2016-03-11
101094,50.69632,4.56668,130,20160312,8.9,-1.1,3.9,2.4,6.33,0.0,1.2,12114,2016-03-12
101094,50.69632,4.56668,130,20160313,9.4,-1.6,3.9,4.5,6.1,0.0,1.55,14227,2016-03-13
101094,50.69632,4.56668,130,20160314,7.6,-1.2,3.2,4.5,5.5,0.0,1.52,13313,2016-03-14
101094,50.69632,4.56668,130,20160315,9.9,-0.9,4.5,3.8,6.63,0.0,1.38,12073,2016-03-15
101094,50.69632,4.56668,130,20160316,8.3,1.2,4.7,5.1,5.97,0.0,1.67,11884,2016-03-16
101094,50.69632,4.56668,130,20160317,10.0,-0.7,4.6,3.3,5.77,0.0,1.78,15830,2016-03-17
101094,50.69632,4.56668,130,20160318,6.9,-0.5,3.2,2.5,6.97,0.0,0.79,6639,2016-03-18
101094,50.69632,4.56668,130,20160319,6.0,3.8,4.9,2.7,7.13,0.0,0.83,3163,2016-03-19
101094,50.69632,4.56668,130,20160320,8.5,3.9,6.2,2.9,7.37,0.2,1.1,5330,2016-03-20
101094,50.69632,4.56668,130,20160321,9.0,3.8,6.4,2.8,7.83,0.4,1.09,6483,2016-03-21
101094,50.69632,4.56668,130,20160322,11.6,1.7,6.7,3.0,7.87,0.1,1.42,11219,2016-03-22
101094,50.69632,4.56668,130,20160323,9.5,4.4,7.0,3.2,8.6,0.7,1.01,6275,2016-03-23
101094,50.69632,4.56668,130,20160324,9.4,5.3,7.3,3.4,8.07,2.4,1.21,5700,2016-03-24
101094,50.69632,4.56668,130,20160325,10.0,5.7,7.9,4.0,8.4,4.8,1.36,7182,2016-03-25
101094,50.69632,4.56668,130,20160326,14.8,1.6,8.2,6.3,8.47,7.1,2.13,14233,2016-03-26
101094,50.69632,4.56668,130,20160327,13.0,6.1,9.5,7.7,8.6,1.7,2.25,11966,2016-03-27
101094,50.69632,4.56668,130,20160328,11.8,7.2,9.5,8.6,8.23,6.8,2.32,9824,2016-03-28
101094,50.69632,4.56668,130,20160329,11.6,5.2,8.4,6.9,7.97,1.6,2.1,11282,2016-03-29
101094,50.69632,4.56668,130,20160330,11.2,7.5,9.3,4.1,8.53,2.3,1.76,9124,2016-03-30
101094,50.69632,4.56668,130,20160331,7.6,5.5,6.5,3.1,8.5,2.4,0.91,5189,2016-03-31
101094,50.69632,4.56668,130,20160401,11.1,2.1,6.6,2.6,7.7,0.0,1.57,12584,2016-04-01
101094,50.69632,4.56668,130,20160402,12.6,6.6,9.6,2.7,9.63,0.1,1.44,8429,2016-04-02
101094,50.69632,4.56668,130,20160403,19.6,11.5,15.5,4.7,12.57,0.3,2.96,15974,2016-04-03
101094,50.69632,4.56668,130,20160404,15.5,11.5,13.5,3.4,10.7,2.3,2.33,11871,2016-04-04
101094,50.69632,4.56668,130,20160405,13.7,9.1,11.4,3.0,10.17,0.0,1.77,9381,2016-04-05
101094,50.69632,4.56668,130,20160406,12.1,6.4,9.2,6.3,8.77,1.4,1.93,9917,2016-04-06
101094,50.69632,4.56668,130,20160407,11.5,4.2,7.8,5.4,7.47,1.8,2.26,15672,2016-04-07
101094,50.69632,4.56668,130,20160408,12.0,5.2,8.6,2.3,8.13,0.1,1.88,13268,2016-04-08
101094,50.69632,4.56668,130,20160409,14.9,2.8,8.9,3.8,7.6,1.3,2.66,18602,2016-04-09
101094,50.69632,4.56668,130,20160410,15.3,4.0,9.6,3.0,8.87,0.0,2.42,18172,2016-04-10
