GRID_NO;LATITUDE;LONGITUDE;ALTITUDE;DAY;TEMPERATURE_MAX;TEMPERATURE_MIN;TEMPERATURE_AVG;WINDSPEED;VAPOURPRESSURE;PRECIPITATION;ET0;RADIATION
100094;50.47228;4.59257;155;20200401;10;-2.4;3.8;2.3;4.55;0;2.14;19516
100094;50.47228;4.59257;155;20200402;9.3;-1.3;4;2.6;6.05;0;1.61;13505
100094;50.47228;4.59257;155;20200403;10.6;4.2;7.4;3.3;6.55;0;1.95;10765
100094;50.47228;4.59257;155;20200404;15.2;3.7;9.5;2.6;5.95;0;2.84;18190
100094;50.47228;4.59257;155;20200405;21.6;4.4;13;3.9;6.2;0;4.41;21206
100094;50.47228;4.59257;155;20200406;20.8;10.5;15.7;4.6;8.2;0;4.42;18748
100094;50.47228;4.59257;155;20200407;20.1;7.1;13.6;2.6;10.85;0;2.99;19275
100094;50.47228;4.59257;155;20200408;24.4;9.5;16.9;1.9;8.4;1;3.71;20074
100094;50.47228;4.59257;155;20200409;22.1;8.5;15.3;2.7;9.5;0;3.72;20833
100094;50.47228;4.59257;155;20200410;20.9;7.2;14.1;3.8;9;0;3.9;21169
100094;50.47228;4.59257;155;20200411;22.8;6.4;14.6;2.3;8.65;0;3.77;21866
100094;50.47228;4.59257;155;20200412;23.3;7;15.2;2.4;8.8;0;3.84;20972
100094;50.47228;4.59257;155;20200413;11;9.1;10.1;5.9;7.05;0;2.96;13259
100094;50.47228;4.59257;155;20200414;9.7;0.8;5.3;3.6;5.15;0;2.33;15360
100094;50.47228;4.59257;155;20200415;17.6;0.1;8.8;2.8;6.05;0;3.26;20101
100094;50.47228;4.59257;155;20200416;22.3;5.8;14.1;2.3;8.25;0;3.72;20685
100094;50.47228;4.59257;155;20200417;21.2;7.4;14.3;3;9.7;0;3.76;21192
100094;50.47228;4.59257;155;20200418;16.6;9.4;13;2.4;11.2;5;2.29;13620
100094;50.47228;4.59257;155;20200419;14.6;5.6;10.1;3.3;10.2;0;1.5;6896
100094;50.47228;4.59257;155;20200420;19;6.2;12.6;6.8;6.2;0;5.24;24195
100094;50.47228;4.59257;155;20200421;20.6;7;13.8;6.9;5.65;0;5.96;24466
100094;50.47228;4.59257;155;20200422;21.8;6.4;14.1;5.3;6.4;0;5.53;25177
100094;50.47228;4.59257;155;20200423;22.7;5.6;14.2;1.9;7.25;0;4.11;24613
100094;50.47228;4.59257;155;20200424;19.6;7.3;13.4;3.4;8.25;0;4;22570
100094;50.47228;4.59257;155;20200425;14.8;5.5;10.2;3.6;7.7;0;3.18;20793
100094;50.47228;4.59257;155;20200426;17.5;2.6;10;1.7;7.35;0;3.34;25080
100094;50.47228;4.59257;155;20200427;21.8;3.8;12.8;2.6;8.7;0;4.03;24368
100094;50.47228;4.59257;155;20200428;17.7;9.5;13.6;4;11.2;5;2.61;12214
100094;50.47228;4.59257;155;20200429;16;10.6;13.3;5.2;10.9;5;2.65;12295
100094;50.47228;4.59257;155;20200430;14.3;8.3;11.3;5.4;9.35;2;2.86;16532
100094;50.47228;4.59257;155;20200501;14.3;7.1;10.7;6.1;9.35;3;2.78;17374
100094;50.47228;4.59257;155;20200502;14.3;6.8;10.5;4.2;8.6;2;2.83;17006
100094;50.47228;4.59257;155;20200503;16.8;3.5;10.1;2;9.15;0;2.58;17092
100094;50.47228;4.59257;155;20200504;15.4;10.8;13.1;3.8;10.15;0;2.63;12039
100094;50.47228;4.59257;155;20200505;15;5.1;10.1;5.4;6.75;0;3.97;24705
100094;50.47228;4.59257;155;20200506;17.4;2.5;10;2.8;6.2;0;4.04;27145
100094;50.47228;4.59257;155;20200507;20.7;4.7;12.7;1.4;7.1;0;3.94;25939
100094;50.47228;4.59257;155;20200508;21.8;7;14.4;2.3;8.45;0;4.18;23277
100094;50.47228;4.59257;155;20200509;24;10.5;17.2;2.1;11.2;1;4.31;23147
100094;50.47228;4.59257;155;20200510;18.7;13.6;16.2;3.6;13.5;4;2.16;6366
100094;50.47228;4.59257;155;20200511;12.4;5;8.7;8.3;6;0;3.79;20104
