DAY;VAPOURPRESSURE;PRECIPITATION
20200101;6.4;0
20200102;7.4;0
20200103;9.3;3
20200104;7.6;0
20200105;7.5;0
20200106;6.6;1
20200107;8.75;0
20200108;11.7;2
20200109;11.65;9
20200110;8.85;2
20200111;6.9;0
20200112;8.0;1
20200113;8.95;2
20200114;9.5;1
20200115;8.8;1
20200116;8.6;0
20200117;8.1;2
20200118;6.65;0
20200119;6.4;0
20200120;6.85;0
20200121;5.5;0
20200122;5.8;0
20200123;6.6;0
20200124;5.95;0
20200125;6.7;0
20200126;8.15;3
20200127;9.15;8
20200128;7.1;1
20200129;6.7;0
20200130;9.4;2
20200131;11.7;4
20200201;10.55;15
20200202;10.5;8
20200203;9.75;14
20200204;7.5;2
20200205;6.9;0
20200206;6.4;0
20200207;5.65;0
20200208;8.4;1
20200209;9.3;11
20200210;7.4;5
20200211;6.05;1
20200212;6.45;1
20200213;7.75;7
20200214;7.85;0
20200215;8.8;2
20200216;10.5;7
20200217;7.95;2
20200218;7.45;3
20200219;7.35;1
20200220;8.4;5
20200221;6.7;0
20200222;8.25;1
20200223;10.25;4
20200224;9.3;3
20200225;7.8;5
20200226;6.2;3
20200227;6.3;9
20200228;6.75;4
20200229;8.15;4
20200301;7.15;2
20200302;8.0;6
20200303;6.9;1
20200304;7.55;4
20200305;9.1;13
20200306;7.9;4
20200307;6.95;0
20200308;8.8;6
20200309;7.95;6
20200310;11.45;12
20200311;12.6;6
20200312;7.75;1
20200313;6.95;0
20200314;7.8;0
20200315;8.85;0
20200316;9.1;0
20200317;7.65;0
20200318;9.45;0
20200319;9.95;0
20200320;9.0;5
20200321;6.4;0
20200322;4.55;0
20200323;3.3;0
20200324;3.0;0
20200325;3.45;0
20200326;3.95;0
20200327;5.75;0
20200328;6.65;0
20200329;4.55;0
20200330;4.7;0
20200331;5.55;0
20200401;4.55;0
20200402;6.05;0
20200403;6.55;0
20200404;5.95;0
20200405;6.2;0
20200406;8.2;0
20200407;10.85;0
20200408;8.4;1
20200409;9.5;0
20200410;9.0;0
20200411;8.65;0
20200412;8.8;0
20200413;7.05;0
20200414;5.15;0
20200415;6.05;0
20200416;8.25;0
20200417;9.7;0
20200418;11.2;5
20200419;10.2;0
20200420;6.2;0
20200421;5.65;0
20200422;6.4;0
20200423;7.25;0
20200424;8.25;0
20200425;7.7;0
20200426;7.35;0
20200427;8.7;0
20200428;11.2;5
20200429;10.9;5
20200430;9.35;2
20200501;9.35;3
20200502;8.6;2
20200503;9.15;0
20200504;10.15;0
20200505;6.75;0
20200506;6.2;0
20200507;7.1;0
20200508;8.45;0
20200509;11.2;1
20200510;13.5;4
20200511;6.0;0
20200512;5.8;0
20200513;6.25;0
20200514;5.5;0
20200515;6.05;0
20200516;7.1;0
20200517;7.75;0
20200518;8.45;0
20200519;9.7;0
20200520;11.95;0
20200521;12.7;0
20200522;13.85;1
20200523;8.75;1
20200524;10.9;0
20200525;11.3;0
20200526;10.65;0
20200527;10.3;0
20200528;8.2;0
20200529;7.6;0
20200530;7.85;0
20200531;8.1;0
20200601;9.65;0
20200602;9.65;0
20200603;10.8;0
20200604;11.55;4
20200605;10.2;13
20200606;8.55;1
20200607;9.65;0
20200608;12.05;3
20200609;11.35;0
20200610;11.7;1
20200611;13.45;0
20200612;14.05;6
20200613;14.3;0
20200614;13.55;0
20200615;13.65;0
20200616;14.1;4
20200617;15.4;17
20200618;14.3;3
20200619;13.25;0
20200620;12.2;0
20200621;13.5;4
20200622;12.95;0
20200623;13.15;0
20200624;13.9;0
20200625;13.65;0
20200626;17.05;1
20200627;16.65;1
20200628;11.9;1
20200629;10.7;0
20200630;12.9;1
20200701;16.7;6
20200702;13.15;0
20200703;12.95;0
20200704;15.0;1
20200705;16.5;1
20200706;10.75;0
20200707;11.15;1
20200708;15.15;11
20200709;16.35;0
20200710;13.45;1
20200711;11.15;0
20200712;11.05;0
20200713;10.95;0
20200714;14.0;4
20200715;13.65;1
20200716;15.25;2
20200717;15.7;0
20200718;16.0;0
20200719;13.45;0
20200720;12.1;0
20200721;10.25;0
20200722;10.0;0
20200723;10.3;0
20200724;13.95;1
20200725;15.25;9
20200726;14.5;3
20200727;12.6;0
20200728;12.8;0
20200729;11.65;0
20200730;11.05;0
20200731;12.45;0
20200801;16.7;0
20200802;13.45;0
20200803;12.35;1
20200804;10.85;0
20200805;9.4;0
20200806;11.3;0
20200807;13.15;0
20200808;13.55;0
20200809;15.9;0
20200810;16.7;1
20200811;17.8;0
20200812;18.45;1
20200813;19.0;0
20200814;18.35;1
20200815;19.3;1
20200816;18.5;3
20200817;16.0;1
20200818;15.7;1
20200819;15.9;4
20200820;18.2;2
20200821;15.8;2
20200822;13.9;1
20200823;14.55;1
20200824;14.05;1
20200825;14.75;3
20200826;13.45;0
20200827;13.2;2
20200828;13.5;1
20200829;12.55;1
20200830;13.35;8
20200831;11.9;0
20200901;10.65;0
20200902;10.8;0
20200903;13.95;0
20200904;17.55;2
20200905;12.3;2
20200906;10.4;0
20200907;10.7;0
20200908;15.05;7
20200909;17.15;0
20200910;11.4;0
20200911;11.85;0
20200912;12.1;0
20200913;13.1;0
20200914;12.9;0
20200915;13.15;0
20200916;15.4;0
20200917;10.55;0
20200918;10.7;0
20200919;12.65;0
20200920;10.45;0
20200921;9.7;0
20200922;11.0;0
20200923;12.9;9
20200924;11.45;3
20200925;10.2;13
20200926;11.4;40
20200927;12.7;7
20200928;13.05;16
20200929;14.4;4
20200930;15.15;1
20201001;12.9;6
20201002;12.35;7
20201003;11.75;1
20201004;10.35;3
20201005;11.75;3
20201006;12.1;11
20201007;10.95;1
20201008;13.65;9
20201009;11.8;1
20201010;9.45;1
20201011;9.95;2
20201012;10.1;0
20201013;9.6;2
20201014;8.95;0
20201015;8.95;0
20201016;9.3;0
20201017;8.6;0
20201018;9.8;0
20201019;9.1;0
20201020;11.65;4
20201021;13.4;2
20201022;14.4;2
20201023;14.05;2
20201024;12.75;2
20201025;11.65;6
20201026;9.7;0
20201027;10.2;3
20201028;10.9;7
20201029;11.4;3
20201030;13.0;0
20201031;12.3;2
20201101;14.7;3
20201102;14.35;3
20201103;8.55;0
20201104;7.6;0
20201105;7.05;0
20201106;6.65;0
20201107;9.55;0
20201108;11.45;0
20201109;12.2;0
20201110;12.45;3
20201111;11.8;0
20201112;9.95;0
20201113;11.1;0
20201114;11.65;0
20201115;10.7;9
20201116;10.35;1
20201117;10.75;0
20201118;9.85;1
20201119;9.05;1
20201120;6.55;0
20201121;7.75;0
20201122;9.8;2
20201123;10.1;0
20201124;8.75;0
20201125;7.9;0
20201126;8.6;0
20201127;8.25;0
20201128;8.1;0
20201129;6.3;0
20201130;6.3;7
20201201;8.65;6
20201202;8.6;0
20201203;7.9;3
20201204;6.85;0
20201205;6.1;0
20201206;5.95;0
20201207;6.3;0
20201208;6.15;0
20201209;6.2;0
20201210;6.05;0
20201211;7.6;6
20201212;9.8;2
20201213;8.25;1
20201214;10.05;8
20201215;10.2;3
20201216;9.55;3
20201217;9.5;1
20201218;9.1;0
20201219;9.7;0
20201220;9.25;0
20201221;9.95;5
20201222;12.95;10
20201223;11.5;13
20201224;7.8;3
20201225;6.5;0
20201226;6.5;1
20201227;7.2;14
20201228;6.65;1
20201229;6.55;1
20201230;6.9;3
20201231;6.65;1
20210101;6.3;0
20210102;6.1;0
20210103;6.2;0
20210104;6.1;0
20210105;6.2;0
20210106;6.45;1
20210107;6.2;2
20210108;5.95;1
20210109;5.5;0
20210110;5.85;0
20210111;6.45;5
20210112;7.55;12
20210113;6.6;5
20210114;6.0;9
20210115;5.0;1
20210116;5.05;4
20210117;6.75;1
20210118;6.95;1
20210119;7.6;7
20210120;6.95;3
20210121;8.15;8
20210122;7.05;0
20210123;6.5;6
20210124;5.65;2
20210125;5.9;0
